epoch,kWh
1779400800,0.236
1779402600,0.547
1779404400,0.241
1779406200,0.167
1779408000,0.17
1779409800,0.166
1779411600,0.168
1779413400,0.167
1779415200,0.159
1779417000,0.135
1779418800,0.151
1779420600,0.165
1779422400,0.132
1779424200,0.139
1779426000,0.148
1779427800,0.111
1779429600,0.095
1779431400,0.169
1779433200,0.169
1779435000,0.139
1779436800,0.136
1779438600,0.089
1779440400,0.119
1779442200,0.102
1779444000,0.089
1779445800,0.119
1779447600,0.311
1779449400,0.532
1779451200,0.114
1779453000,0.093
1779454800,0.096
1779456600,0.111
1779458400,0.079
1779460200,0.089
1779462000,0.113
1779463800,0.305
1779465600,0.237
1779467400,0.206
1779469200,0.119
1779471000,0.114
1779472800,0.123
1779474600,0.333
1779476400,0.189
1779478200,0.768
1779480000,0.698
1779481800,0.321
1779483600,0.376
1779485400,0.427
1779487200,0.341
1779489000,0.207
1779490800,0.257
1779492600,0.12
1779494400,0.122
1779496200,0.089
1779498000,0.1
1779499800,0.119
1779501600,0.084
1779503400,0.092
1779505200,0.118
1779507000,0.094
1779508800,0.068
1779510600,0.077
1779512400,0.087
1779514200,0.052
1779516000,0.06
1779517800,0.078
1779519600,0.045
1779521400,0.157
1779523200,0.138
1779525000,0.099
1779526800,0.506
1779528600,0.377
1779530400,0.186
1779532200,0.087
1779534000,0.117
1779535800,0.246
1779537600,0.083
1779539400,0.057
1779541200,0.409
1779543000,1.155
1779544800,2.09
1779546600,1.108
1779548400,0.651
1779550200,0.323
1779552000,0.859
1779553800,0.933
1779555600,0.133
1779557400,0.105
1779559200,0.142
1779561000,0.119
1779562800,0.139
1779564600,0.159
1779566400,0.135
1779568200,0.166
1779570000,0.177
1779571800,0.147
1779573600,0.322
1779575400,0.185
1779577200,0.334
1779579000,0.762
1779580800,0.411
1779582600,0.11
1779584400,0.085
1779586200,0.088
1779588000,0.106
1779589800,0.074
1779591600,0.1
1779593400,0.096
1779595200,0.04
1779597000,0.073
1779598800,0.072
1779600600,0.038
1779602400,0.068
1779604200,0.088
1779606000,0.089
1779607800,0.071
1779609600,0.028
1779611400,0.039
1779613200,0.054
1779615000,0.024
1779616800,0.34
1779618600,0.561
1779620400,0.149
1779622200,0.351
1779624000,0.852
1779625800,1.236
1779627600,0.101
1779629400,0.106
1779631200,0.108
1779633000,0.095
1779634800,0.625
1779636600,0.828
1779638400,0.527
1779640200,0.068
1779642000,0.066
1779643800,0.04
1779645600,0.154
1779647400,0.08
1779649200,0.054
1779651000,0.092
1779652800,0.27
1779654600,0.202
1779656400,0.336
1779658200,0.505
1779660000,0.311
1779661800,0.305
1779663600,0.126
1779665400,0.119
1779667200,0.118
1779669000,0.115
1779670800,0.116
1779672600,0.114
1779674400,0.115
1779676200,0.114
1779678000,0.114
1779679800,0.112
1779681600,0.076
1779683400,0.075
1779685200,0.092
1779687000,0.081
1779688800,0.079
1779690600,0.078
1779692400,0.159
1779694200,0.476
1779696000,0.769
1779697800,0.227
1779699600,0.077
1779701400,0.613
1779703200,0.211
1779705000,0.528
1779706800,0.765
1779708600,0.117
1779710400,0.061
1779712200,0.061
1779714000,0.061
1779715800,0.062
1779717600,0.373
1779719400,0.223
1779721200,0.128
1779723000,0.126
1779724800,0.988
1779726600,0.554
1779728400,0.207
1779730200,0.242
1779732000,1.184
1779733800,0.831
1779735600,0.505
1779737400,0.528
1779739200,1.284
1779741000,0.589
1779742800,0.231
1779744600,0.319
1779746400,0.274
1779748200,0.254
1779750000,0.2
1779751800,0.152
1779753600,0.145
1779755400,0.139
1779757200,0.13
1779759000,0.127
1779760800,0.126
1779762600,0.119
1779764400,0.094
1779766200,0.084
1779768000,0.052
1779769800,0.101
1779771600,0.079
1779773400,0.086
1779775200,0.072
1779777000,0.07
1779778800,0.077
1779780600,0.146
1779782400,0.093
1779784200,0.147
1779786000,0.121
1779787800,0.12
1779789600,0.127
1779791400,0.128
1779793200,0.122
1779795000,0.135
1779796800,0.169
1779798600,0.437
1779800400,0.162
